,Positive,Neutral,Negative,URL
0,0.6666666666666666,0.0,0.0,https://www.benzinga.com/trading-ideas/long-ideas/23/12/36038247/jim-cramer-this-tech-stock-has-moved-too-much-too-high-for-me
1,0.0,0.3333333333333333,0.3333333333333333,https://www.marketwatch.com/story/panera-confidentially-files-for-ipo-in-2024-report-fd14a797
2,0.42857142857142855,0.4642857142857143,0.07142857142857142,https://www.fool.com/investing/2023/11/29/down-40-is-now-the-time-to-buy-recent-ipo-cava-gro/
3,0.2857142857142857,0.5714285714285714,0.0,https://www.fool.com/investing/2023/11/26/my-take-4-strong-growth-stocks-to-buy-this-week/
4,0.5,0.0,0.0,https://www.kiplinger.com/investing/ipos/should-you-invest-in-ipos
5,0.4166666666666667,0.375,0.16666666666666666,https://www.fool.com/investing/2023/11/23/is-the-hype-over-for-cava-stock/
6,0.4074074074074074,0.37037037037037035,0.18518518518518517,https://www.fool.com/investing/2023/11/17/cava-group-stock-buy-sell-or-hold/
7,0.5833333333333334,0.25,0.08333333333333333,https://www.fool.com/investing/2023/11/12/3-top-growth-stocks-down-between-28-to-83-youll/
8,0.0,0.5,0.0,https://www.cnbc.com/2023/11/09/the-ipo-market-has-grown-quiet-again-heres-what-is-behind-the-shift-in-sentiment.html
9,0.0,0.875,0.0,https://www.fool.com/investing/2023/11/09/got-1000-here-are-3-stocks-to-buy-that-could-tripl/
10,0.47058823529411764,0.4117647058823529,0.058823529411764705,https://www.fool.com/investing/2023/11/08/heres-why-cava-stock-fell-today/
11,0.65,0.3,0.0,https://www.fool.com/investing/2023/11/08/is-now-time-for-investors-to-buy-into-the-fast-cas/
12,0.7,0.2,0.0,https://www.fool.com/investing/2023/11/07/3-top-stocks-to-buy-in-november/
13,0.5,0.0,0.0,https://www.marketwatch.com/story/disney-and-other-entertainment-giants-report-after-upbeat-results-from-peers-but-investors-are-getting-harsher-on-companies-that-dont-deliver-c7318fa7
14,0.5263157894736842,0.3684210526315789,0.05263157894736842,https://www.fool.com/investing/2023/10/31/1000-invested-in-these-3-stocks-could-make-you-a-f/
15,0.375,0.4583333333333333,0.125,https://www.fool.com/investing/2023/10/30/where-will-cava-stock-be-in-5-years/
16,0.47368421052631576,0.2631578947368421,0.21052631578947367,https://www.fool.com/investing/2023/10/27/cava-stock-looks-tempting-heres-why-i-would-wait/
17,0.5,0.375,0.0,https://www.zacks.com/stock/news/2173583/how-to-find-strong-retail-and-wholesale-stocks-slated-for-positive-earnings-surprises
18,0.36,0.48,0.12,https://www.fool.com/investing/2023/10/27/is-cava-stock-a-buy-now/
19,0.375,0.5625,0.0,https://www.fool.com/investing/2023/10/26/better-buy-cava-vs-mcdonalds/
20,0.4444444444444444,0.4444444444444444,0.0,https://www.zacks.com/stock/news/2171386/these-2-retail-and-wholesale-stocks-could-beat-earnings-why-they-should-be-on-your-radar
21,0.18181818181818182,0.6363636363636364,0.09090909090909091,https://www.prnewswire.com/news-releases/toxin-free-usa-sues-cava-for-food-containing-pesticides-and-food-packaging-containing-pfas-301963353.html
22,0.0,0.5,0.0,https://www.benzinga.com/general/23/10/35337414/are-people-done-buying-chips-and-soda-stock-market-winners-and-losers-from-rise-of-ozempic-weight-lo
23,0.2,0.6,0.0,https://www.fool.com/investing/2023/10/16/start-buying-from-companies-you-invest-in-heres-wh/
24,0.39285714285714285,0.42857142857142855,0.14285714285714285,https://www.fool.com/investing/2023/10/13/1-growth-stock-down-45-to-buy-right-now-cava/
25,0.25,0.25,0.25,https://www.investors.com/market-trend/stock-market-today/dow-jones-rises-after-fed-minutes-as-house-vote-on-new-speaker-looms-meta-breaks-out/
26,0.42857142857142855,0.2857142857142857,0.21428571428571427,https://www.fool.com/investing/2023/10/08/why-cava-group-stock-plunged-31-in-september/
27,0.46153846153846156,0.38461538461538464,0.11538461538461539,https://www.fool.com/investing/2023/10/01/why-im-changing-my-mind-about-cava-group-stock/
28,0.25,0.5,0.125,https://www.fool.com/investing/2023/10/01/restaurant-ipo-stock-100-upside-not-cava/
