AADI,"{'FYARRO', 'the EOC License Agreement', 'European Union', 'Congress', 'the European Union', 'TSC1 &amp', 'ContentsOur', 'the General Data Protection Regulation', 'Company', 'the EOC Territory', 'non-European Union', 'us;&#8226;a', 'NSCLC', 'Mirati Therapeutics, Inc. (&', 'the Fresenius Agreement'}"
ABCL,"{'the Government of Canada', 'Company', 'the Government of British Columbia'}"
ABEO,
ABIO,"{'FDA', 'SPA', '\\n  &#x2022;collaborators', '\\n  &#', 'Cable Car Capital', 'The Funicular Fund', '\\n  &#x2022;collaborations'}"
ABOS,"{'the Halozyme License Agreement', 'Halozyme, Inc.', 'ACU193', 'Halozyme', 'Company', 'Halozyme, Inc. (&#8220;Halozyme&#8221;).Under'}"
ABSI,"{'the Sarbanes-Oxley Act of', 'the Sarbanes-Oxley Act', 'Absci Corporation', 'the Securities and Exchange Commission', 'this Quarterly Report', 'the Securities Exchange Act', 'Change% ChangeRevenuesTechnology development revenue$5,380&#160;$3,094&#160;$2,286&#160;74&#160;%Collaboration', 'development$35,798&#160;$47,593&#160;$(11,795)(25)%Selling', 'Change% ChangeRevenuesTechnology development revenue$744&#160;$2,004&#160;$(1,260)(63)%Collaboration', 'SEC'}"
ABUS,"{'loss$(19,520)$(18,474)(51,933)(50,193)See', 'COVID-19', 'Inc.$714&#160;$1,256&#160;$2,980&#160;$4,339&#160;Qilu Pharmaceutical Co.', 'HBV', 'Assembly', 'DEL', 'agreementsCollaborationsQilu Pharmaceutical Co., Ltd.', 'Company', 'Qilu Pharmaceutical Co., Ltd.'}"
ABVC,"{'the Company (See Note 8)', 'COVID-19', 'Euro-Asia Investment &', 'Inverlew Advisors', 'BioFirst Collaborative', 'Co-Development', 'the BioFirst Collaborative Agreement\\nwas', 'BioFirst in\\na', 'Securities Purchase Agreement', 'Plant and Equipment (&', 'Board', 'Incorporation of the Company', 'BioLite Taiwan', 'Common Stock', 'Finance', 'LLC', 'upfront\\npayments\\n\\n&#160;\\n\\nIf\\na', 'YuanGene Corporation', 'Securities Purchase Agreement&#160;(27)\\n', 'Cathay Bank', 'JP', 'BriVision', 'The BHK Co-Development Agreement', 'BioLite', 'NT$31,649,000', 'BioFirst\\n(Australia', 'Barlew Holdings', 'BioFirst', 'the Company receives.\\n\\n&#160;\\n\\nCollaborative\\nRevenues &#', 'BHK', 'Zhonghui United Technology\\n(Chengdu) Group Co., Ltd.', 'Accounting Standards Codification', 'the BioFirst Collaborative Agreement', 'Critical Accounting', 'recognition.\\n\\n&#160;\\n\\n(i', 'American BriVision (Holding) Corporation', 'Zhonghui United Technology', 'Company', 'collaboration\\npartners.\\n\\n&#160;&#160;\\n\\nAs\\npart', 'Chengdu) Group Co., Ltd.', 'Restated American BriVision (Holding) Corporation'}"
ABVX,
ACAD,"{'Merger AgreementsThe Company', '\\n  &#x2022;the', 'DAYBUE', 'FDA', 'and\\n  &#', 'they:\\n  &#x2022;do', '\\n  &#', 'candidates;\\n  &#x2022;may', 'AG', 'API', 'candidates;\\n  &#x2022;the', 'and\\n  &', 'capabilities;\\n  &#x2022;the', 'development programs;\\n  &#x2022;the', 'Patheon Pharmaceuticals Inc.', 'the U.S.;\\n  &#x2022;our', 'PDP', 'the Baker Entities', '\\n  &#x2022;may', '\\n  &#x2022;obtaining FDA', 'License', 'targets;\\n  &#x2022;preclinical'}"
